Sentiments,Positive
is muzahere mein khawateen ne mehgayi khurak ki qilat aur almi jung ke bais paida hone wale masail par bhi shaded ahtejaj kiya,0
sadyon porani riwayat itni bazbot hoti hain ke unhein koi riyasati qanon badal nahi sakta,0
humare mulk ki khawateen hudod o qawanin ke mamle mien imtiazi soloq samet degar mamlat mein insaf ki talib hai,0
humare masher ki khawateen wani quran se shadi zabardasti shadi gherat ke naam par qatal teen bayak waqat talakon aur wirasat se mehromi jese ghambeer masail ka shikar hai,0
zarirat is amar ki hai ke in tamam qawanin par nazar e sani ki jaye jo khawateen ke hoqoq ke tahafuz ki zamanat nahi dete is ke elawa naye qawanin waza karne ki ashad zarorat hai ta ke hawwa ki beti apni hurman nasibi ka rona na ro sake,0
hawwa ki beti azal se zulm aur nainsafi ki chaki mein pisti hali arahi hai,0
duniya mien khatoon jahan nazakat ki alamat hai wahan mazlomiyat ka istaarah bhi hai,0
wafa ka pekar to hai magar mehromi ka mazhar bhi hai,0
fitrat ka sacha aks hai lekin samaj ki bereham zanjeron mein jakri hoi bhi hia aala martabe ki haq dar hai magar paon ki joti samjhi jati hai sarapa rehm o karam hone ki bona par boriyat ka roop hai magar zamana is se larzan bhi hai sadyon se zulm o sitam ka takhta e mashak hai lekin sabar ka pahar bhi hai,0
watan e aziz mein khawateen se rawa rakhe jane wale ghair munsifana aur imtiazi sulok ka rawaya qabill e muzamat hai,0
ghar janib dari se dekha jaye to mazi mein pakistan mein insani hoqoq ki sorat e haal qabill e tariff nahi rahi insani hoqoq ki pamali ki sorat mein khawateen ziyadah mutasir hoein,0
mulk mein khawateen ko beshumar mashi aur samaji masail ka samna hia,0
lekin jis kaam ko hangami bunyadon par karne ki zarorat thi wo mein nafiz keye jane wale hodod o qawanin par nazar e sani bhi thi,0
hodod o qawanin ke nafaz ke silsile mein baz qanoni peshediyon ki wajah se begunah khawateeen jailon mein band thein,0
adalat mein jurm sabit hone se phele unhen mushkilat ke chungal se guzarna parta jahan un ki asmat ki chadar barha tar tar hoti,0
zana biljabar ke case mein khatoon ko zaniya qarar diya jata aur jail ki salakhon ke peche behj deya jata,0
kyun ke humare masher mein mardon ki bala dasti qaim hai,0
is ke elawa jagirdarana culture aur khatoon ki kamzor mashrati hesiyat ki wajah se hodod o qawanin ko bator hatyar istemal kiya ja raha tha,0
zana bijabr ka nishana banne wali khatoon ki ye zimedari thi ke wo zana biljabr ko sabit karne ke leye char mard gawah pesh kare warna use zana bilraza ki mujrim qarar de kar jail behj deya jata jis ke bad masaib ka na khatam hone wala aik silsila shuru ho jata,0
kyun ke khawateen par hone wala tashdud khawateen ki taraqi mein rukawat ka bais banta hai,0
shehar ki khatoon zehani tashdud ka shikar hai to dehat ki khatoon jismani tashadud ka,0
s agar hum chahate hain ke humari khawateen ke halat behtar hon to is ke leye mardon ko bhi apna musar kirdar ada karna pare ga aur unhen apni sochon mein tabdeli lani ho gi ke tamam tar pabandiyon ka nishana sirf khatoon hi ko na banaya jaye aur unhen mazhabi tor par jo hoqoq hasil hain kam iz kam wo to unhen deye jaein,0
susti aur kahli un ko sakht na pasnd thi,0
molvi abdul haq jama e urdu ke qayam ke khuwahishmand the taham un ki rehrat se ye masoba adhora reh gaya,0
urdu zaban ke is azeem khidmatgar musanif aur muhaqiq ne august ke roz karachi mein wafat pai,0
jab ke tv actors ko films mein mushkil se he jagah milti thi,0
bohat kam aise actors hain jinho ne dono jagah kamiyabi hasil ki,0
jahan tak films ka sawal hai to abhi is industry ko pori tarha bahaal hone mein kafi waqt lagega,0
yeh tha loser wala msg ka mtlb,0
krna kya hai aur kaisy uper se guzr gya,0
chalu lets loose lol p,0
ya kesa promo code ha terms and conditions ma to likha ha across pakistan valid ha or peshawar ma kam nai kr raha shame on you careem,0
lay bhai sasta haal agaya hai,0
dekhain yahan bhi me yaad na ae,0
mil he na jae,0
bkwass,0
whenever i wanted to use a promo ur app doesnt book my ride due to error,0
haha ap plz mat pagal bano careem walo ki bato seye just awam ko bewkof banana janty hain,0
mhengi cars pakistan ki ecomomy and goverment dono bekar h,0
bhaagi zinda thi qandeelbaloch tu fahasha thi according to the people ab mar gai ha tu achi thi bechari double standard society lanat ha,0
sambhal kay of verna hats off shoaib mansoor but ye new york s phatt phata k aie mahirakhan ko dalne ki kya zarort thi move on,0
kon is kay doum per paooon rakh ker khara ho giyah malala drama haqeeqat hai,0
sir plz western union se cash out karwane ka tareka bata de pakistan me is tara k zarie kam hai iss lye hame iss ke pare me kuch nahi pata plz ap tutorial me iss ke bare me kuch bata de,0
logo ki laye azab bnadiya mulk ko tax lga lga kar,0
chalo q mobile pe bharosa hai k headphone jack kabhi khatam nahi karega qk usb ctype q mobile waisy bhi support nahi karta,0
sale apna deen eman bech dete hain paiso ke liye lanat amir,0
aaj mall road par ba qaida mera qaid hamza shahbaz ke boards,0
ke lac wah coming gli lac ke milrahe hay n lac me with one year insurance kuch to khuda ka khouf karo bhai,0
ise kehte hen faraghat ko kaam me lagana velay comments krne se to behtar hi hwa,0
bkwaspoor qualityso bad,0
fazool shirt fazool print kabhi na kharidna,0
bilkul he third class tshirts thi ye kyunke inki quality bilkul third class thi maine ye medium size ki mangwaayi thi aur itni bari aur loose aayi thi ye tou ye meray kisi kaam nahi aayi bilkul udaas hu iski quality se aur majboori mai ye mjhe phenkni he ar gayi,0
haaton ko milk mein daal tu den lekin us k baad jo ammi bolengi k sara milk kharab ker dia phir kia karenwk,0
ma ne ye shirt order ki per inho ne black colour full sleeves me koi or bhj di,0
haad hai bhai lootnay ki binternational price is ki pen aur cover kay saath or dollar hai aur najariya jasi country main b ye isi price par mil raha haiye sari loot mar pakistan main hi kiyon,0
camera bilkul fazol her signals generation b low he bohatbaki set acha he,0
bhai aap bukry ko untt k narkh py na beechy to comment ayingy apki post py,0
meri bohat expectations thee is phone se lekin qmobile ka x kuch zyada hee sust aur halka hai is phone ko mein sirf looks pe hee rate karoonga kiunkay chalne mein yeh mujhe pasand nai aaya slow hai hang hojata hai chalte huay hang hojata hai kaafi maslay hain jo har bar restart karkay hee sahee hote hain camera se mein satisfied hoon lekin yeh phone apnee marzee se chalta hai,0
phone ka display itna mazay ka nahi hai meine jesa expect kiya tha wese nahi tha image quality and screen resolution mein wo maza nahi hai haan is phone ka processor acha hai taiz hai charging poora din chal jati hai aur dikhne mein kafi acha lagta hai lekin bs meri level of expectations pe poora nahi utra,0
neta se lekar police wale sbb govt afsro ne apna imaan bech diya hai,0
bad police jabhi to in k sath target killing hote hai is jaisay police walay ko saray aam saza hone chahiyay aur suspend kerdena chahiyay takay dosray police walay is say sabak hasil keray yay awam k muhafiz hay ya ghunday uneducational police need training attitude disi plan most need,0
ager koi security reason tha bhe to us constable chaiye tha ke tameez se baat ker leta,0
skay pendant ki quality itnee achee nai hai,0
guys plz beggers aur workers taxi driver ko mat darao unka roz ka kaam hota hai waha par,0
bkwas gatyaa chizen dikhaty kuch aur bejty kuch hn,0
plz koi yahn se na kharedemne phle juicer mangwaya wo original ni tha,0
is larki n lakh mangy the program band karny k unhi n nh diy to y program chalaya gaya h,0
time kyu zaya kar rahe ho tum hare pakistani goverment bhe shamil hai meko lagta hai tabhe killer ko fasi nahi derahe ho hamare yeha india bhej do usko safi dedenge usko,0
zehni mareez helmet laga k mar raha hay wahhh,0
kia log bewakuf hain unhne samaj nahi arhi k ye game logo ko sirf or sirf unko bewakuf banti hain kia logo me dimag name ki koi chiz nhi,0
jab iski kisi nay ice cerem ma zehar dia tha jab he mar jana chaie tha is haram khor ko isko deen kay baray ma be batao itna makeup kar k ati hai bager nakap k ye be too galat h,0
aaj ke bad main apne garden se peach ke sary trees ko aag laga donga,0
jo bhi howa acha howa lekin natijaa kujh khas nahi niklega kuch din k under dobara azad ho jaiga ye,0
ganjay ko kuch nai smj aya tbi chup kr k nikal gaya sath smjhane wala staff jo nai tha,0
ranger or police checking in ki nhi krti unki krti hai jis k pas kuch na ho ye aram se khula ghum rahy hain,0
bikul thek kia mai to kehta hu ik group hona chahey jo wrong park hoi gari aur without stop khari bus ka screen tor kar bhag jaye,0
blkul ghlay koi jahil log he jnhe ye nai pta k ks janwr ko kis trah zibah krty hen or ye ount to mje murda lg rha tha zra sa b nhi hila,0
dil k under kia hai woh allah he junta hai alzam trashi say baz rahoo yeh b eik guna hai,0
sawal yeh hai ke unse behes karay kon aur chalo unhon be video dekh bhi li kya woh yeh maan leinge ulta yh keh kar andar kr deinge ke humain qanoon sikhai ga phr bachai ga kon,0
khuda gaarat kry in behiss jaanwron ko bechary gareeb admi ki haq halal ki kamai py kesy daka dala esy log apny anjaam ko zror phnchty hain,0
afsos gov ka kasoor hay agar awam bokay na hotay tu kon dakan chori karta hay,0
yaar aur phir punjab hukumat bolti he ke hamare sheher robbers se pak henso what is this,0
tabhi me kahon itny nalik nalik log masters kaisy kr lyty hyn jin ki sindh ki degree hoti h,0
bukwas video hailast tak kuch khas nae hai,0
yeh bacha nihqyat batmeez or dramay baaz ha i hate this kid isy pehly b kch shows ma dekh chuka hun,0
sab log hasre hain but kissi ko ye pata nhi chalra key howa kya hai abey jahil awam car waley ko fire marey hain wo jo piche larka khara tha,0
is banda k right wala angootha per day an sa dakha sub pata chal jaya ga,0
bjp modi gaya tha vidio banane aurnawaz shareef ko biryani khilane,0
pakistani jider b jay ga apni harkaton se bta de ga k wo pakistani hajese saudi pakistani ko bolte han pakistani kullo harami,0
jhot ka palanda suna k sy min khari hui hn or camera ki ankh ny sy logon ko shot kya yeh harkat krty huay,0
ab ye jail jay gi or jb jail sy aygi to is ky mun may ayk dant nhi hoga sir sfeed or hath may lathi or logo ki lanty alg sy suny gi kngree,0
allah ko yaad kar k naik bannay k bjay apna tamasha bana rahy hen allah hidayat da,0
police department bund kr dena chahiye,0
log kitne behas hai sub dhek dekh j jarahe hain,0
lanat allah ka azab qayamt ki nishaniya,0
daikty kyo ho itna maro keh inki sary nasly yad raky gee,0
galat baat mat karoya bilkul nahai likha huwa farig logkoi aur kam nahai ha karnay ko jo ya galat batain bolty rehtay hojhail,0
amazing punjab waley tou lar jatey hai ye soldier tou khud majbour hai na band karey tou nokri se farig bari machliyo ko pakartey hai hum sab loog,0
jnb ap writen likh sakty han ap authority wise afsar han showcase letter jari kar datay allah pak ny ap ko izat di h or ak acha rutba dia h but apny mulazim ki kisi k samny insert karna galat h,0
kb wo din ai ga jis din maryam hassan hussain nawaz shareef or safdar ko aisay rangers walay lay kar jai gay,0
police pe kyun lanat ho saal k bachay ko us ke chotay bhai k sambey churriyun k waar kar k marne waley ko tu chaiyee k uski khaal utar deinpolice pakrey bhi tu tanqeed ka nishana na pakrey tu bhi kharablog kusi tarah khush nahi isbanday ka apna inner guilt tha k is ne apna gala katney ki koshish kiis ko koi haq nahi k yeh apni frustration kisi k bachay ko mar kar nikaleybastard,0
jo log keh rahe hayn k ye repoters jo dare huway hayn or ye itna hela kr video bna raha h tw mera kehna ye h k agr ap log us jaga hoty us wqt twme apse puchta tb ap kya krte kese pe ungli uthana bht assan hota h jb khud pe aati h tb pta chalta h,0
sahaba k ghustakhon ka yahi haal hota hy logon k juty saaf kro hahahaha,0
agr is k b ksi famly membr k sath easa hota to pta chalta ye mzaak hy yaa begyrti,0
aur wah mardo hath main churyan phen lo sub log socho agar ye aurat tum main sy kesi ki maa bhen beati hoti to kia tum sub chup chap khry ho kar tamasha dekhty,0
is koam k sath is say b zada burra hona chahiyeh khuda us koam ki halat nai badlta na ho jis ko khyal khud apni halat badalnay ka,0
salute or un logo k monh pr tamacha jo haty katty ho kr bheek mangty hain,0
mufti sahab aahinda baje bi na aana baje market khulti hai,0
is ka hal ye hai k hum sab pakistani chahy lahore ho quetta ho kpk ho islamabad ho ya karachi ho sab k sab ek month ka bil na pay karyn metar katna hai na in logon ne kat len meter sardion main koi khas zarurat b ni hoti bijli ke month main itna nuksan ho ga in wapda walon ko k in ko in ke nani yaad aa jaye ge,0
hahaaaduleh ka shumar kis janwar se tahapne itne sare dooston ko le gagaya shadi me haaaa,0
meera nay ye bhi kahaa k imran bhai aap meraa peecha ab chorr dain,0
air accident bohut hongy agar pakistan my ye car ayi to,0
shazib ap jhoty ho darbari ho ptv mi sb noon waly gay thy jhoty moqadmy lgay gay pti pr,0
fazool news hakumat kahin nahi ja rahi,0
chooorrr dakoooo lutaryyyy sharifa family,0
laro bahi sub larooo jo b mqm mandaeet per saal kamiyaa ajj mein mein kar ray hain majhaarr ko baezaat kardiya kamaal bahi ny or farooq bahi ny mugy tou apny app per sharam ari haey,0
pm k sath her waqt military sectory hota hai jiska rank lfthota hai sath ssg commandos hotay hainyeh kia bakwas ker rahi haiour pm business class main nahi first class main travel kerta haisasti shuhrat k liay,0
last me us ka petrol khatam ho gia ho ga jis ke waja say pakra gia,0
agr bechy k hth chuth jty to kuch b ho skhta thaaa,0
is video ka kia faida mazda tb tha k alarm bjta dor lok ho jata tb tk na khulta jab tk video dikhi na jati,0
sharm o haya hy ya phr zarbasti ki shadi,0
or han in media walon ke baton main na aya karo ya apna pason ka lya logo ke life b tabah kar data ha or jo haq pa ho us ke koe awaz nahi,0
yar dunia chand py punch gae or hum log abhi yeh sub karny main hi lagy hai kabhi media dikhata hai k yeh larka apni aankhen bht bahir tak nikal sakta hai to kabhi yeh,0
sharm karo pakistanio apny country ka bando ko he bura bura bol rhy ho sharm karo shame for you,0
ye wo mard e mujahid hy es time govt ki traf sy pabandi ti net cafe open rakny ki or ye time namaz taraveh ka ta bsss rs bhai jaan ko gussa aya or akar sab ki wart laga d,0
fitty e mun jayawam ko preshan krny walu ki muzzamat krny ki bjay es ko as funny video bnaa kr pesh krny walu pr shabash haihmaari qaum doosru ko upset kr k khush hoti hai,0
abhe ham ilzam ron ko daty hen k ham par zulm karty henye hal hy ham muslmanon ka,0
esko pani daboo kar minat rakha jaye khud pata chal jaye ga k mrta ha k nhi,0
bhai allah ki makhloq bhoki hai,0
dig ad khawaja say guzarish hai kay usko job say saspant karen,0
police wala jo garmi my khara dhop my apni duty day raha hai is awam ki hi khidmat kr raha hai is per in uniform hath uthaya batamizi ki vedio my saf nazar aa raha hai to wo police wala maray ga nahi to aur kya kry ga,0
ye bagairat log dekhrahy han tamasha benchod ek ek chamant maro police waly ko fr b sala marjata kamino tamasha dekhrahy ho,0
such m boht bara froad ha yr,0
hd hogai janwar agr tang mar day to bchay ko kitna nuksan phnch skta jahil hain,0
ye galt kam koi ap ke tafri ki waja se mazor bi ho skta hai plz is tarahan ke kam na kare,0
ye tu wahan hain na pakistan main nahi kash hoti aj meray shohar bi zinda hotey meray sath hotey wo ye sab dekh kar dil bohat roya hai mera main dekhti rehay gayi aur meray shohar meray hathou main hi khatam ho gaye thay,0
en mullon ki jahi halat honi chahiea,0
kathoo bhae bhabhi to ghar me ghusne nahi de gi ye beta wari kahan se aagaya,0
esko bahduri nashanay bazi ma mahrat kah rd ay ha aur insani jan ka itna bara risk ni lana chaheya gharor to khuda ko bi pasand ni ha dakh k afsos huwa agar nasha chok jata to,0
koi acha kam nh kiya is car wale nekuch zyada he over ho raha hai pagal,0
allah in snatcher ko kuttay ko mout atta karay ameen truck k neechay akar marein,0
jo aanounce ker raha tha wo keh raha hu ga is say behtar ma he hu is leye phool aur taj le gaya,0
agr ye hi koi pakistani ice cream wala hota toh it should be considered as harassing,0
beshak ek insan ne mil k pakistan benya aj kal kutay kami kameen kha rahe hai kam zaraf hukamran,0
ap deen ko pakistan ki ismbli ma nai bacha saky or hindo tu hin kafir allah imaan da in ko jin ka pora molk muslim hin uno na kya kr leya,0
mohabbat ki hai koi gunah nhi kia to esy halat bna di iss bechary ki,0
umr farooq sialkot ka famus bnda h us ka bal b bagha hi kr skta koi insaf kaha sy mlna h,0
falto court k chakar katne se ye acha hai,0
fake sec bad pesy wapis chaly jaty hain or next day acaunt m transfer ho jaty hain,0
lakh de lanat ho tum logon pr police walon or jo sath me hy,0
admin agr comments dekh k tasali ho gayi ho to post ko sahi kro,0
allah de tabaha aw barbad ke che cha da zulim kare dy,0
mujhe andaza hai ke meri tezi se barhti shohrat ko dekhte hue mere mukhalfeen ki tadaad barh rahi hai,0
jin logon ko mujh se jalan hoti hai wo jalte rahe,0
main janti hon ke mere munfarid andaaz hosting aur bollywood ki taraf se milne wale response ke bad bohat se mukhalfeen news paper aur news channels par tanziya beyan jari karte rehte hain ta ke main dil bardashta ho jaon lekin yeh in ki khaam khayali hai,0
main chahti hon ke jo log meri fankarana salahiyaton ke hawale se aksar tanz o mazah karte rehte hain,0
khusosi guftugo karte hue resham ne kaha hai ke koi insaan kisi ko izzat aur maqam nahi de sakta,0
is silsile mien dono actresses mutadid martaba karachi bhi gai magar chand aik tv programs mien shirkat ke ilawa koi drama project na mil saka,0
actress laila ne kuch arsey qabal lahore mien aik comedy serial ke pilot mien hissa liya magar wo dobara shuru na ho saka,0
actress nirma ne chand aik drama serials mien kaam kiya magar is ke gher zimmedarana rawaiyye ki wajah se cut kar ke mutabadil actresses ko le liya gaya tha,0
mere paas jadoo ki charhi nahi hai ke charhi ghumao aur sab kuch thek ho jae,0
lekin is ke liye fankaron ko sakht iqdaam uthana honge,0
jahan tak baat meri films mien acting karne ki hai to ab mera films mien kaam karne ko dil nahi karta,0
in press conference a journalist asked a question about video scandal she ignores to give answer about video scandal,0
lollywood star meera press conference mein matanaza video scandal se mutaliq sawalaat tal gayein,0
pakistani actress meera arrived to america to celebrate valentine day with captain naveed but captain naveeds family did not give her permission to enter the house,0
captain naveeds father raja perveez said that video conspiracy of meera hurt us and it is bad for our family,0
khabaron mein rehne wali adakara meera valentine day manane captain naveed ke pas america pohanchen magar naveed ki family ne meera ko ghar mein dakhil hone se rok diya,0
meera ne airport se phone kiya ke wo america aayi hai usse lene aayein magar captain naveed ne family ke israr par airport jane se inkar kar diya,0
raja perveez ka kehna hai ke meera taxi le kar un ke ghar pohanchein lekin unhon ne meera ko ghar mein dakhil hone ki ijazat nahi di kyun ke meera ki nazeba video ki wajah se un ki family ki bohat badnaami hoi hai,0
meera america aakar meri baho ban jati hai aur pakistan ja kar kehti hai ke naveed mera dost hai,0
meera ko jab captain naveed ki family ne lift na karai to un ke ghar ke nazdik train station ke waiting room mein ja kar beth gai,0
dosri janib meera ke sectary ne in khabron ko bebunyad qarar diya hai,0
european mumalik ke athletes ko ghar ki koi fikar nahi hoti,0
razia sheer khan humare mulk ke bare shearon mein tartan track to hain lekin is ki maintenance nahi,0
agar karachi ke national coaching center ki baat karen to wahan ki tartan track maintenance na hone ki wajah se bilkul kharab ho gai hai,0
zahir hai kharab condition hone ki wajah se is mein training aur practice ka koi faidah nahi hai,0
razia sheer khan agar aap majmoi kheelon ki baat kar rahe hain to mardon ko ziyadah saholaten aur ahamiyat hasil hai,0
yahan par tamam tar tawajah sirf cricket khelne par hai lekin dosre kheelon ki taraf bhi dekhna chaheye,0
agle saal british open ke semi final mein unhein shikast kha ker apne izaz se dastbardar hona para,0
semi final mein unhein bartania mice lodi ne haraya yeh tournament gujeshta saal ke runnerapp miser ke abutalib ne jeeta,0
after jahangir khan was not success,0
jahangir khan bachpen mein nehaiat naheef o nazar they kam umri mein dunya key shikar ho gae aur doctron ney squash key khail ko un key leay shejrea mamnua qarar dae dea,0
iss kamiabi key kuch hi arsey bad toor sim khan inteqal ker gae,0
un dino kenya mein summer cup tournament khela jar aha tha aur mushtaq ahmed unfit ho gae the,0
yahan par tamam tar tawajah sirf cricket khelne par hai lekin dosre kheelon ki taraf bhi dekhna chaheye,0
mohibullah ne mertaba british open ke final mein pahonche magar teeno mertaba woh azam khan ke vhaton shikast sey do char ho gae,0
mohibullah khan senior badqismati se aik saal se zayada british open ka title apne pass na rakh sake,0
agle saal british open ke semi final mein unhein shikast kha ker apne izaz se dastbardar hona para,0
guzishta kuch arsey se shahid afridi ki bating kuch gehna si gai hai,0
isi liye ab shahid bataur batsman ziyada maussir nahi rahe,0
itne arsey bad bhi shahid afridi short pitch balls ke lalach mein aa jate hain,0
is ke ilawa inhe australia ki bouncy wickets ko baratne ka saliqa bhi ab tak nahi aaya,0
kyun ke wo aksar tezi se ghomti hui balls se apni nakaam bating ki talafi kar lete hain,0
jo batsman ko pareshan karta hai,0
october ko apni cousin nadia se shahid khan afridi ki shadi ne unginat ladkiyon ke dil torh diye,0
guzishta chand barson se shahid afridi ka cricket career in ki bating ki tarah hichkole kha raha hai,0
doob maro phr,0
wak ni maa main badl gi hna,0
mangtey uski shan k mutabiq hain detey apni auqat k mutabiq hain,0
tahum is sone ko kundan banana ka sehra babaeradio syed zulfiqar ali bukhari ke sir hai jinho ne mohammed ali ko apne sayaeatifat mein le kar awaaz ki aesi tarash kharash ki ke mulk bhar mein koi bhi sadakar mohammed ali ka muqabla na kar sakta tha,0
mohammed ali ki awaz zulfiqar bukhari se adaegi ke sare gur seekhne ke bad chekh chekh kar keh rahi thi,0
lekin yeh dono geet gane aur heroin ke peche peche bhagne wale manchaley hero the,0
chunache mehaz ahmed rashdi ke gaey hue geet par hont hila dene se mohammed ali ka maqsad pora na hota tha,0
bal ke use dil ki gehrai se nikle hue jazbat ki adaegi ke liye thos mukalmat ki zaroorat thi aur yehi wo maqam tha jahan phephron mein bhare saans diaphragm ke sukrhao naak aur galey ke khala mein sarsarati saans aur zaban ki ratobat ka imtezaj mil kar zulfiqar bukhari ke tarbiyat yafta awaz ke is dhuni ko microphone se khilwarh ke liye khula chor dete aur phir aqleem sada mein bas isi sheyr ki dharh sunai deti thi,0
aik aesi maa thi jis ki beti ka chehra bhari jawani mein daagh daar ho gaya tha aur maa ke paas plastic surgery ke zaraey na the,0
film jannat ke baad meri shanakht kamyab adakara o model ki hesiat se hony lagimujhy kafi filmein bhi offer hueenmagar jaldbaazi ke bajaye soch samajh ker agy barhna chahti thimeri ye hikmat e amali is liey argar na hui kbollywood mein action aur thrill filmon ka dor shru hogyajis mein hero heroin ke kirdar showpiece ke taur err eh gyebold manazir ki bharmar ne bhi mujhy mazeed difai hikmat e amli per majboor kar diyadusra shayad producer aur director ki tarjeehat bhi badal gaensonal chauhanne kaha ke kamyab film deny ke bad bhi dafatir ke chakkar lagana aur mulaqatein zururi hain to is se behter ghar bethny ko hi tarjeeh di,0
dusry funkaron ki tarha zati home production banany ka koi irada nahen hai,0
ke ashrey mien wo chand films mein nazar aaey,0
commercial cinemas par yeh kamiyab nahi rahe,0
magar mujhe kabhi kisi haseena ki taraf se khoon se likhe aashiqana khatoot nahi mile,0
rajesh khanna apne urooj ke dino mien jab bahar nikalte the to traffic ruk jata tha,0
magar yeh baat zaroor afsurdah kar deti hai ke jaisa kaam main karna chahta tha waisa na kar saka,0
isi liye ibtedai taur par farooq sheikh ne bhi wakalat he ko bataur pasha apnane ka socha magar yeh shoba in ke mizaj se lagao nahi khata tha,0
ki dehai mien farooq sheikh ne bohat kam films mien acting ki,0
jahan farooq sheikh ko heart attack hua jo is basalahiyat actor ko paristaron se judah kar gaya,0
bad men kuch ikhtelafat ki bina par wo tdp chor kar samaaj waadi party mein shamil ho gai,0
lekin siyasat aur badnami ka choli daman ka sath hai is liye jaya prada bhi badnami se nahi bach saken aur baaz ilzamaat ki bina par samaaj wadi party inhe chorni parhi,0
lekin siyasat mein wo kitna he ooncha maqam kyun na hasil kar len in ke maddah in ki payal ki jhankar aur dilnasheen adaaon ko kabhi nahi bhula sakte,0
sylvester ki umer jab baras hui to waldain mein alehdgi ho gai aur wo apni waldah ke sath rehne lage,0
ke bad sylvester ke maali halaat bohat kharab ho gae the,0
in ke paas rehne ka thikana bhi na tha,0
week tak new york ke aik park mein raat basar karne ke bad inhe bus stop par aik film audition ke liye diya gaya poster nazar aaya,0
agarcha yeh teesre darjey ki film thi lekin baqaul sylvester stallone ke inhe us waqt he option nazar aae ya to kahin chori ki jae ya phir is film mein qismat aazmai jae,0
baras tak inhe ne films mein kaam kiya jis se in ke career mein istehkaam to paida hua lekin us waqt tak inho ne koi aesi film nahi kit hi jis ki karkardegi ki wajah se in ka shumar superstars mein kiya jata,0
jab yeh kahani filmsazon ko dikhai to ise filmane ke liye kae directors aur producers tayyar ho gae aur is script ke liye sylvester stallone ko lac thousand dollars ki peshkash bhi hui lekin sab he kehna tha ke film ke markazi role ke liye kisi super star ko cast kiya jae,0
yeh challenge stallone ko manzoor nahi tha,0
isi wajah se is film ki aksbandi takheer ka shikaar ho gai,0
jin mein se par kamiyabi hasil huilekin badqismati se stallone behtareen actor ka award hasil nahi kar pae,0
mein sasha se divorce ke bad stallone ne rocky ki actress par jet nelson se shadi kar li,0
is shadi ka anjaam baras bad he divorce ki soorat mein nikla,0
sylvester stallone action hero hone ki wajah se aksar apni films ki aksbandi ke dauran zakhmi hote rahe hain,0
khas taur par rocky ki aksbandi ke dauran jab actress adolf lofgren ne inhe ki farmaiysh par in ke seene par ghonsa mara to stallone ko din icu mein guzaarne parhe,0
jab ke film escape to victory ki aksbandi ke dauran azeem footballer peele ki kick rokte hue stallone apni ungli turhwa bethe the,0
kuch arsaa qabal the expendables ki aksbandi ke dauran actor steve austin ke sath aik scene ki aksbandi karwate hue stallone ki garden ki haddi buri tarah mutassir hui aur ab in ki garden mein metal ki plate laga di gai hai,0
yehi nahi bal ke paidaiysh ke waqt stallone ke face par scissor lagne ki wajah se face ka aik hissa waqti taur par maflooj ho gaya tha jis ke asraat aaj bhi in ki zabaan aur face ke aik taraf maujood hain,0
guzishta do dehaiyon mein firqa warana tasob aur inteha pasandi ne pore mulk ko apni lappet mein le leya,0
th standard tak taleem hasil karne ke bad jerry lewis ko school chorna parha,0
dosri jang e azeem ke dauran inho ne fauj mein bharti hone ki koshish ki lekin kamiyab na ho sake,0
jo is saal ki sab se ziyada farokht hone wali comic book thi lekin films mein aane ke bad jerry lewis den martin par haawi hone lage the aur yeh baat producer idaron ne bhi note kar li thi,0
bil aakhir july ko yeh jorhi toot gai,0
tahum hairat angez taur par yeh show nazreen mein wo pazeerai hasil na kar saka,0
jis ki umeed ki ja rahi thi aur mehaz weeks bad he use band kar diya gaya,0
mein jab jerry lewis years ke ho gae to inhe jismani aazaa ki madad se comedy karne mein mushkil pesh aane lagi aur wo ziyada tar makalmon ka sahara lene lage,0
shayad isi wajah se box office par in ki maqboliyat kam hone lagi thi,0
chunache paramount pictures ne in ke sath muaahedey ki tausee nahi ki,0
jerry lewis ne mein steven spielberg ki film the day the clown cried mein kaam bhi kiya lekin yeh film maali mushkilaat ke baiys silver screen ki zeenat na ban saki,0
in ke bete aur aik le palak beti hai tahum aik beta manshiyat ki latt mein mubtila ho kar is duniya se rukhsat ho chukka hai,0
jerry lewis bhi mukhtalif bemariyon aur hadsaat ka shikaar hote rahe hain,0
mein aik stage performance ke dauran pesh aane wale hadsey mein in ki back bone mutassir hui aur khatra tha ke shayad wo zindagi bhar ke liye maflooj ho jaenge,0
lekin is ke bad se inhe dard door karne wali adwiya mustaqlan istemal karni parhti hain,0
duniya bhar mein maujood apne lakhon maddahon ke dilon ko khushiyon se aashna karne wale jerry lewis ko ab tak bar heart attack ho chukka hai,0
aarzae qalb ke sath sath inhe cancer diabetes aur lungs ke amraaz bhi lahaq hain,0
tahum august ko aelaan kar diya gaya ke wo ab is show ki hosting jari nahi rakh sakengi,0
yun to jerry lewis ne apne taweel career ke dauran kar awards hasil kiye lekin yeh baat hairan kun hai ke aalamgir shohrat o maqboliyat ke bawajood wo oscar award hasil karne mein nakaam rahe,0
lekin pakistan mein qadam jamana bhi koi aasan kaam na tha kyun ke yahan filmi falak par us waqat mosiqi ke kai aftab o mehtab roshan the,0
maroof mosikaron ke is jhurmat mein apne leye jagah paida karna koi aasan kaam na tha,0
